FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	32951624
TOTAL_READ_PAIRS	40255356
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	7303732
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	70.15
BENCHMARK_MinutesPerMillionReads	1.74
BENCHMARK_MinutesPerMillionGoodReads	2.13
ReadPairs_AmbigGene	1657023
ReadPairs_UniqueGene	30381753
ReadPairs_UniqueGene_CDS	26753094
ReadPairs_UniqueGene_UTR	3628659
ReadPairs_NoGene	912848
ReadPairs_NoGene_Intron	504360
ReadPairs_NoGene_OneKbFromGene	56840
ReadPairs_NoGene_TenKbFromGene	177836
ReadPairs_NoGene_MiddleOfNowhere	173812
Genes_Total	65217
Genes_WithZeroCounts	41723
Genes_WithNonzeroCounts	23494
InsertSizeCalc_Kept	32175103
InsertSizeCalc_lt_readLen	423970
InsertSizeCalc_eq_readLen	160990
InsertSizeCalc_readLen_to_2xreadLen	26228547
InsertSizeCalc_ge_2xreadLen	5361596
InsertSizeCalc_Dropped	776521
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	227757
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	548764
AggregateGenes	60969
AggregateGenes_NoReads	38423
AggregateGenes_WithReads	22546
SpliceLoci	589970
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	212342
SpliceLoci_Known_FewReads	31323
SpliceLoci_Known_ManyReads	131038
SpliceLoci_Novel	215267
SpliceLoci_Novel_FewReads	179237
SpliceLoci_Novel_ManyReads	36030
SpliceEvents	15072220
SpliceEvents_KnownLoci	13918927
SpliceEvents_KnownLociWithFewReads	55062
SpliceEvents_KnownLociWithManyReads	13863865
SpliceEvents_NovelLoci	1153293
SpliceEvents_NovelLociWithFewReads	263643
SpliceEvents_NovelLociWithManyReads	889650
StrandTest_frFirstStrand	30370170
StrandTest_frSecondStrand	513940
StrandTest_ambig_genesFountOnBothStrands	1315386
StrandTest_ambig_noGenes	751414
StrandTest_ambig_other	714
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	71
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
