FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	75656411
TOTAL_READ_PAIRS	88280769
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	12624358
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	163.85
BENCHMARK_MinutesPerMillionReads	1.86
BENCHMARK_MinutesPerMillionGoodReads	2.17
ReadPairs_AmbigGene	4066930
ReadPairs_UniqueGene	69076934
ReadPairs_UniqueGene_CDS	62888212
ReadPairs_UniqueGene_UTR	6188722
ReadPairs_NoGene	2512547
ReadPairs_NoGene_Intron	1556349
ReadPairs_NoGene_OneKbFromGene	118764
ReadPairs_NoGene_TenKbFromGene	434723
ReadPairs_NoGene_MiddleOfNowhere	402711
Genes_Total	65217
Genes_WithZeroCounts	38668
Genes_WithNonzeroCounts	26549
InsertSizeCalc_Kept	75182059
InsertSizeCalc_lt_readLen	156998
InsertSizeCalc_eq_readLen	75450
InsertSizeCalc_readLen_to_2xreadLen	38956199
InsertSizeCalc_ge_2xreadLen	35993412
InsertSizeCalc_Dropped	474352
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	325908
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	148444
AggregateGenes	60969
AggregateGenes_NoReads	35648
AggregateGenes_WithReads	25321
SpliceLoci	506155
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	186959
SpliceLoci_Known_FewReads	25629
SpliceLoci_Known_ManyReads	162115
SpliceLoci_Novel	131452
SpliceLoci_Novel_FewReads	91167
SpliceLoci_Novel_ManyReads	40285
SpliceEvents	48261227
SpliceEvents_KnownLoci	46947212
SpliceEvents_KnownLociWithFewReads	45556
SpliceEvents_KnownLociWithManyReads	46901656
SpliceEvents_NovelLoci	1314015
SpliceEvents_NovelLociWithFewReads	143972
SpliceEvents_NovelLociWithManyReads	1170043
StrandTest_frFirstStrand	68903542
StrandTest_frSecondStrand	1081636
StrandTest_ambig_genesFountOnBothStrands	3122044
StrandTest_ambig_noGenes	2544323
StrandTest_ambig_other	4866
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	79
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
