FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	59153912
TOTAL_READ_PAIRS	68712870
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	9558958
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	124.93
BENCHMARK_MinutesPerMillionReads	1.82
BENCHMARK_MinutesPerMillionGoodReads	2.11
ReadPairs_AmbigGene	2617103
ReadPairs_UniqueGene	54563550
ReadPairs_UniqueGene_CDS	48466625
ReadPairs_UniqueGene_UTR	6096925
ReadPairs_NoGene	1973259
ReadPairs_NoGene_Intron	997890
ReadPairs_NoGene_OneKbFromGene	120106
ReadPairs_NoGene_TenKbFromGene	378599
ReadPairs_NoGene_MiddleOfNowhere	476664
Genes_Total	65217
Genes_WithZeroCounts	40385
Genes_WithNonzeroCounts	24832
InsertSizeCalc_Kept	57529213
InsertSizeCalc_lt_readLen	855366
InsertSizeCalc_eq_readLen	368731
InsertSizeCalc_readLen_to_2xreadLen	41866834
InsertSizeCalc_ge_2xreadLen	14438282
InsertSizeCalc_Dropped	1624699
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	331001
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	1293698
AggregateGenes	60969
AggregateGenes_NoReads	37162
AggregateGenes_WithReads	23807
SpliceLoci	452574
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	209194
SpliceLoci_Known_FewReads	23782
SpliceLoci_Known_ManyReads	141727
SpliceLoci_Novel	77871
SpliceLoci_Novel_FewReads	51734
SpliceLoci_Novel_ManyReads	26137
SpliceEvents	29808322
SpliceEvents_KnownLoci	28929049
SpliceEvents_KnownLociWithFewReads	43264
SpliceEvents_KnownLociWithManyReads	28885785
SpliceEvents_NovelLoci	879273
SpliceEvents_NovelLociWithFewReads	83725
SpliceEvents_NovelLociWithManyReads	795548
StrandTest_frFirstStrand	54310886
StrandTest_frSecondStrand	1043571
StrandTest_ambig_genesFountOnBothStrands	2315830
StrandTest_ambig_noGenes	1481189
StrandTest_ambig_other	2436
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	79
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
