FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	48178598
TOTAL_READ_PAIRS	55132570
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	6953972
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	102.60
BENCHMARK_MinutesPerMillionReads	1.86
BENCHMARK_MinutesPerMillionGoodReads	2.13
ReadPairs_AmbigGene	2260933
ReadPairs_UniqueGene	44494346
ReadPairs_UniqueGene_CDS	40605527
ReadPairs_UniqueGene_UTR	3888819
ReadPairs_NoGene	1423319
ReadPairs_NoGene_Intron	726984
ReadPairs_NoGene_OneKbFromGene	97671
ReadPairs_NoGene_TenKbFromGene	313328
ReadPairs_NoGene_MiddleOfNowhere	285336
Genes_Total	65217
Genes_WithZeroCounts	40875
Genes_WithNonzeroCounts	24342
InsertSizeCalc_Kept	47574497
InsertSizeCalc_lt_readLen	323886
InsertSizeCalc_eq_readLen	156364
InsertSizeCalc_readLen_to_2xreadLen	29204890
InsertSizeCalc_ge_2xreadLen	17889357
InsertSizeCalc_Dropped	604101
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	209819
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	394282
AggregateGenes	60969
AggregateGenes_NoReads	37688
AggregateGenes_WithReads	23281
SpliceLoci	457532
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	197813
SpliceLoci_Known_FewReads	28168
SpliceLoci_Known_ManyReads	148722
SpliceLoci_Novel	82829
SpliceLoci_Novel_FewReads	61183
SpliceLoci_Novel_ManyReads	21646
SpliceEvents	27249767
SpliceEvents_KnownLoci	26587098
SpliceEvents_KnownLociWithFewReads	49765
SpliceEvents_KnownLociWithManyReads	26537333
SpliceEvents_NovelLoci	662669
SpliceEvents_NovelLociWithFewReads	95026
SpliceEvents_NovelLociWithManyReads	567643
StrandTest_frFirstStrand	44219129
StrandTest_frSecondStrand	758775
StrandTest_ambig_genesFountOnBothStrands	1981828
StrandTest_ambig_noGenes	1215707
StrandTest_ambig_other	3159
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	73
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
