FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	55146781
TOTAL_READ_PAIRS	64529536
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	9382755
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	120.02
BENCHMARK_MinutesPerMillionReads	1.86
BENCHMARK_MinutesPerMillionGoodReads	2.18
ReadPairs_AmbigGene	2798706
ReadPairs_UniqueGene	50509690
ReadPairs_UniqueGene_CDS	44380866
ReadPairs_UniqueGene_UTR	6128824
ReadPairs_NoGene	1838385
ReadPairs_NoGene_Intron	1250339
ReadPairs_NoGene_OneKbFromGene	81787
ReadPairs_NoGene_TenKbFromGene	258052
ReadPairs_NoGene_MiddleOfNowhere	248207
Genes_Total	65217
Genes_WithZeroCounts	39211
Genes_WithNonzeroCounts	26006
InsertSizeCalc_Kept	53886360
InsertSizeCalc_lt_readLen	717812
InsertSizeCalc_eq_readLen	312298
InsertSizeCalc_readLen_to_2xreadLen	42029900
InsertSizeCalc_ge_2xreadLen	10826350
InsertSizeCalc_Dropped	1260421
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	351769
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	908652
AggregateGenes	60969
AggregateGenes_NoReads	36092
AggregateGenes_WithReads	24877
SpliceLoci	494004
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	197856
SpliceLoci_Known_FewReads	29539
SpliceLoci_Known_ManyReads	147308
SpliceLoci_Novel	119301
SpliceLoci_Novel_FewReads	91135
SpliceLoci_Novel_ManyReads	28166
SpliceEvents	28258220
SpliceEvents_KnownLoci	27490603
SpliceEvents_KnownLociWithFewReads	52140
SpliceEvents_KnownLociWithManyReads	27438463
SpliceEvents_NovelLoci	767617
SpliceEvents_NovelLociWithFewReads	139590
SpliceEvents_NovelLociWithManyReads	628027
StrandTest_frFirstStrand	50138572
StrandTest_frSecondStrand	725180
StrandTest_ambig_genesFountOnBothStrands	2619169
StrandTest_ambig_noGenes	1662618
StrandTest_ambig_other	1242
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	73
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
