FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	32661138
TOTAL_READ_PAIRS	38232482
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	5571344
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	65.50
BENCHMARK_MinutesPerMillionReads	1.71
BENCHMARK_MinutesPerMillionGoodReads	2.01
ReadPairs_AmbigGene	1661025
ReadPairs_UniqueGene	29976979
ReadPairs_UniqueGene_CDS	27311935
ReadPairs_UniqueGene_UTR	2665044
ReadPairs_NoGene	1023134
ReadPairs_NoGene_Intron	505431
ReadPairs_NoGene_OneKbFromGene	62654
ReadPairs_NoGene_TenKbFromGene	207655
ReadPairs_NoGene_MiddleOfNowhere	247394
Genes_Total	65217
Genes_WithZeroCounts	41751
Genes_WithNonzeroCounts	23466
InsertSizeCalc_Kept	32172436
InsertSizeCalc_lt_readLen	260893
InsertSizeCalc_eq_readLen	122446
InsertSizeCalc_readLen_to_2xreadLen	21973111
InsertSizeCalc_ge_2xreadLen	9815986
InsertSizeCalc_Dropped	488702
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	181144
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	307558
AggregateGenes	60969
AggregateGenes_NoReads	38497
AggregateGenes_WithReads	22472
SpliceLoci	424836
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	210800
SpliceLoci_Known_FewReads	22495
SpliceLoci_Known_ManyReads	141408
SpliceLoci_Novel	50133
SpliceLoci_Novel_FewReads	30323
SpliceLoci_Novel_ManyReads	19810
SpliceEvents	18749136
SpliceEvents_KnownLoci	18129957
SpliceEvents_KnownLociWithFewReads	41833
SpliceEvents_KnownLociWithManyReads	18088124
SpliceEvents_NovelLoci	619179
SpliceEvents_NovelLociWithFewReads	50832
SpliceEvents_NovelLociWithManyReads	568347
StrandTest_frFirstStrand	30036748
StrandTest_frSecondStrand	559983
StrandTest_ambig_genesFountOnBothStrands	1350916
StrandTest_ambig_noGenes	712429
StrandTest_ambig_other	1062
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	75
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
