FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	108477302
TOTAL_READ_PAIRS	123441084
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	14963782
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	223.15
BENCHMARK_MinutesPerMillionReads	1.81
BENCHMARK_MinutesPerMillionGoodReads	2.06
ReadPairs_AmbigGene	6395688
ReadPairs_UniqueGene	99142897
ReadPairs_UniqueGene_CDS	87197629
ReadPairs_UniqueGene_UTR	11945268
ReadPairs_NoGene	2938717
ReadPairs_NoGene_Intron	1975608
ReadPairs_NoGene_OneKbFromGene	138571
ReadPairs_NoGene_TenKbFromGene	402291
ReadPairs_NoGene_MiddleOfNowhere	422247
Genes_Total	65217
Genes_WithZeroCounts	38512
Genes_WithNonzeroCounts	26705
InsertSizeCalc_Kept	107006020
InsertSizeCalc_lt_readLen	737383
InsertSizeCalc_eq_readLen	288422
InsertSizeCalc_readLen_to_2xreadLen	74742922
InsertSizeCalc_ge_2xreadLen	31237293
InsertSizeCalc_Dropped	1471282
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	578666
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	892616
AggregateGenes	60969
AggregateGenes_NoReads	35443
AggregateGenes_WithReads	25526
SpliceLoci	892290
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	187033
SpliceLoci_Known_FewReads	31458
SpliceLoci_Known_ManyReads	156212
SpliceLoci_Novel	517587
SpliceLoci_Novel_FewReads	414145
SpliceLoci_Novel_ManyReads	103442
SpliceEvents	57698967
SpliceEvents_KnownLoci	54781594
SpliceEvents_KnownLociWithFewReads	54553
SpliceEvents_KnownLociWithManyReads	54727041
SpliceEvents_NovelLoci	2917373
SpliceEvents_NovelLociWithFewReads	606311
SpliceEvents_NovelLociWithManyReads	2311062
StrandTest_frFirstStrand	99327570
StrandTest_frSecondStrand	1199973
StrandTest_ambig_genesFountOnBothStrands	4691313
StrandTest_ambig_noGenes	3254344
StrandTest_ambig_other	4102
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	85
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
