FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	34124818
TOTAL_READ_PAIRS	40979363
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	6854545
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	71.95
BENCHMARK_MinutesPerMillionReads	1.76
BENCHMARK_MinutesPerMillionGoodReads	2.11
ReadPairs_AmbigGene	1989515
ReadPairs_UniqueGene	31249511
ReadPairs_UniqueGene_CDS	28688391
ReadPairs_UniqueGene_UTR	2561120
ReadPairs_NoGene	885792
ReadPairs_NoGene_Intron	498345
ReadPairs_NoGene_OneKbFromGene	49446
ReadPairs_NoGene_TenKbFromGene	157361
ReadPairs_NoGene_MiddleOfNowhere	180640
Genes_Total	65217
Genes_WithZeroCounts	40452
Genes_WithNonzeroCounts	24765
InsertSizeCalc_Kept	33257904
InsertSizeCalc_lt_readLen	557248
InsertSizeCalc_eq_readLen	231097
InsertSizeCalc_readLen_to_2xreadLen	26204600
InsertSizeCalc_ge_2xreadLen	6264959
InsertSizeCalc_Dropped	866914
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	242491
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	624423
AggregateGenes	60969
AggregateGenes_NoReads	37217
AggregateGenes_WithReads	23752
SpliceLoci	568911
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	206253
SpliceLoci_Known_FewReads	33691
SpliceLoci_Known_ManyReads	134759
SpliceLoci_Novel	194208
SpliceLoci_Novel_FewReads	159593
SpliceLoci_Novel_ManyReads	34615
SpliceEvents	18183628
SpliceEvents_KnownLoci	17296495
SpliceEvents_KnownLociWithFewReads	59059
SpliceEvents_KnownLociWithManyReads	17237436
SpliceEvents_NovelLoci	887133
SpliceEvents_NovelLociWithFewReads	233964
SpliceEvents_NovelLociWithManyReads	653169
StrandTest_frFirstStrand	31540383
StrandTest_frSecondStrand	434908
StrandTest_ambig_genesFountOnBothStrands	1432432
StrandTest_ambig_noGenes	716260
StrandTest_ambig_other	835
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	67
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
