FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	32875410
TOTAL_READ_PAIRS	39673242
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	6797832
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	68.87
BENCHMARK_MinutesPerMillionReads	1.74
BENCHMARK_MinutesPerMillionGoodReads	2.09
ReadPairs_AmbigGene	2146109
ReadPairs_UniqueGene	30170510
ReadPairs_UniqueGene_CDS	28631758
ReadPairs_UniqueGene_UTR	1538752
ReadPairs_NoGene	558791
ReadPairs_NoGene_Intron	90746
ReadPairs_NoGene_OneKbFromGene	39798
ReadPairs_NoGene_TenKbFromGene	156830
ReadPairs_NoGene_MiddleOfNowhere	271417
Genes_Total	65217
Genes_WithZeroCounts	43148
Genes_WithNonzeroCounts	22069
InsertSizeCalc_Kept	32455294
InsertSizeCalc_lt_readLen	227274
InsertSizeCalc_eq_readLen	126014
InsertSizeCalc_readLen_to_2xreadLen	18709001
InsertSizeCalc_ge_2xreadLen	13393005
InsertSizeCalc_Dropped	420116
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	165482
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	254634
AggregateGenes	60969
AggregateGenes_NoReads	39702
AggregateGenes_WithReads	21267
SpliceLoci	461457
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	205202
SpliceLoci_Known_FewReads	34903
SpliceLoci_Known_ManyReads	134598
SpliceLoci_Novel	86754
SpliceLoci_Novel_FewReads	66223
SpliceLoci_Novel_ManyReads	20531
SpliceEvents	23376654
SpliceEvents_KnownLoci	22773923
SpliceEvents_KnownLociWithFewReads	59468
SpliceEvents_KnownLociWithManyReads	22714455
SpliceEvents_NovelLoci	602731
SpliceEvents_NovelLociWithFewReads	98138
SpliceEvents_NovelLociWithManyReads	504593
StrandTest_frFirstStrand	30576883
StrandTest_frSecondStrand	488906
StrandTest_ambig_genesFountOnBothStrands	1672436
StrandTest_ambig_noGenes	136494
StrandTest_ambig_other	691
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	52
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
